movie_id,movie_name,year,cast
tt5956100,Tiger Zinda Hai,2017,"Salman Khan, Katrina Kaif, Nawab Shah, Anupriya Goenka"
tt1395054,Once Upon a Time in Mumbaai,2010,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai"
tt15567704,Salaam Venky,2022,"Aamir Khan, Priyamani, Kajol, Prakash Raj"
tt10233718,Vadh,2022,"Sanjay Mishra, Neena Gupta, Manav Vij, Saurabh Sachdeva"
tt15175188,Faraaz,2022,"Jatin Sarin, Anirban Adhikary, Aamir Ali, Aneeta"
tt0073707,Sholay,1975,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan"
tt25403492,1920: Horrors of the Heart,2023,"Rupam Bag, Amit Behl, Barkha Bisht, Rahul Dev"
tt8144834,Section 375,2019,"Akshaye Khanna, Richa Chadha, Rahul Bhat, Meera Chopra"
tt11314148,Shiddat,2021,"Sunny Kaushal, Radhika Madan, Mohit Raina, Diana Penty"
tt2387495,Jalpari: The Desert Mermaid,2012,"Lehar Khan, Krishang Trivedi, Parvin Dabas, Suhasini Mulay"
tt8907992,The Girl on the Train,2021,"Parineeti Chopra, Aditi Rao Hydari, Kirti Kulhari, Rajiv Chabria"
tt3767372,Piku,2015,"Deepika Padukone, Amitabh Bachchan, Irrfan Khan, Moushumi Chatterjee"
tt27502523,Kennedy,2023,"Rahul Bhat, Megha Burman, Kurush Deboo, Abhishek Deswal"
tt8816184,Takht,,"Kareena Kapoor, Alia Bhatt, Ranveer Singh, Anil Kapoor"
tt0296574,Company,2002,"Ajay Devgn, Mohanlal, Manisha Koirala, Seema Biswas"
tt1821480,Kahaani,2012,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui"
tt0164538,Dil Se..,1998,"Shah Rukh Khan, Manisha Koirala, Preity G Zinta, Raghubir Yadav"
tt21626284,Laapataa Ladies,2023,"Atishay Jain Akhil, Shivam Ghawariya, Nitanshi Goel, Daood Hussain"
tt14438964,Goodbye,2022,"Amitabh Bachchan, Neena Gupta, Rashmika Mandanna, Pavail Gulati"
tt8291224,Uri: The Surgical Strike,2019,"Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam"
tt9531772,Sooryavanshi,2021,"Akshay Kumar, Katrina Kaif, Ajay Devgn, Ranveer Singh"
tt2980794,Highway,2014,"Alia Bhatt, Randeep Hooda, Durgesh Kumar, Pradeep Nagar"
tt3148502,Tamasha,2015,"Deepika Padukone, Ranbir Kapoor, Ishwak Singh, Arushi Sharma"
tt21403688,Operation Mayfair,2023,"Jimmy Shergill, Vedieka Dutt, Ankur Bhatia, Hritiqa Chheber"
tt1849718,Agneepath,2012,"Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt, Rishi Kapoor"
tt2224317,Lootera,2013,"Ranveer Singh, Sonakshi Sinha, Barun Chanda, Adil Hussain"
tt1185420,Dostana,2008,"Abhishek Bachchan, John Abraham, Priyanka Chopra Jonas, Kirron Kher"
tt9248940,Dream Girl,2019,"Ayushmann Khurrana, Nushrratt Bharuccha, Annu Kapoor, Manjot Singh"
tt12861850,Chandigarh Kare Aashiqui,2021,"Ayushmann Khurrana, Vaani Kapoor, Yograj Singh, Anjan Srivastav"
tt1833673,Dhoom:3,2013,"Aamir Khan, Katrina Kaif, Abhishek Bachchan, Uday Chopra"
tt14988886,U Turn,2023,"Alaya F, Priyanshu Painyuli, Manu Rishi Chadha, Aashim Gulati"
tt11027830,Haseen Dillruba,2021,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane, Aditya Srivastav"
tt15048614,Blurr,2022,"Taapsee Pannu, Gulshan Devaiah, Abhilash Thapliyal, Sorabh Chauhan"
